"","nm","m1","bw","m2","focr","focr_se","fdr","fdr_se","pwr","pwr_se","mu_type","cov_type","snr"
"135","FOCR-O41-LAWS","FOCR (overlap)","41","LAWS",NA,NA,0.0223458349470901,0.000922691278368571,0.585413005272408,0.00323763023351243,"step","AR",0.233333333333333
"136","FOCR-O41-SABHA","FOCR (overlap)","41","SABHA",NA,NA,0.0183729595190875,0.000826747445282478,0.540509666080844,0.00374953549504829,"step","AR",0.233333333333333
"137","FOCR-D41-RAW","FOCR (disjoint)","41","",0.00820618153364632,0.00074355845575964,0.0606919401974795,0.00151418077033223,0.581590509666081,0.0035040696991804,"step","AR",0.233333333333333
"138","FOCR-D41-BH","FOCR (disjoint)","41","BH",NA,NA,0.0118048706508704,0.000670638192830952,0.371265377855888,0.00273958276910364,"step","AR",0.233333333333333
"139","FOCR-D41-LAWS","FOCR (disjoint)","41","LAWS",NA,NA,0.0152450398808648,0.000845153485647193,0.473462214411248,0.00351789171146071,"step","AR",0.233333333333333
"140","FOCR-D41-SABHA","FOCR (disjoint)","41","SABHA",NA,NA,0.0124277186292979,0.000723177653038568,0.426933216168717,0.00406901049036355,"step","AR",0.233333333333333
"141","BH","BH","","",NA,NA,0.025194925616096,0.000660282939617258,0.516476274165202,0.00318465635675242,"step","AR",0.277777777777778
"142","LAWS","LAWS","","",NA,NA,0.0718068205037749,0.00156339715108955,0.719771528998242,0.00282438524090718,"step","AR",0.277777777777778
"143","SABHA","SABHA","","",NA,NA,0.0669278407527122,0.00141982686309086,0.725395430579965,0.00307365136396417,"step","AR",0.277777777777778
"144","FOCR-O3-RAW","FOCR (overlap)","3","",0.0217392494817868,0.000654970839364287,0.0364510817593846,0.000714734676810239,0.57390158172232,0.00326127387868786,"step","AR",0.277777777777778
"145","FOCR-O3-BH","FOCR (overlap)","3","BH",NA,NA,0.0146581876979471,0.000546716077673683,0.447056239015817,0.00330533640992198,"step","AR",0.277777777777778
"146","FOCR-O3-LAWS","FOCR (overlap)","3","LAWS",NA,NA,0.0207075343606888,0.000574403348033442,0.494463971880492,0.00343984596322083,"step","AR",0.277777777777778
"147","FOCR-O3-SABHA","FOCR (overlap)","3","SABHA",NA,NA,0.0188281180457403,0.00056623457166224,0.482513181019332,0.0035790609980584,"step","AR",0.277777777777778
"148","FOCR-D3-RAW","FOCR (disjoint)","3","",0.020457566752679,0.000665154729310941,0.0250010744494675,0.000646371633948506,0.524736379613357,0.00325022006914559,"step","AR",0.277777777777778
"149","FOCR-D3-BH","FOCR (disjoint)","3","BH",NA,NA,0.0101716294080328,0.000451134540865333,0.392882249560633,0.003078755344562,"step","AR",0.277777777777778
"150","FOCR-D3-LAWS","FOCR (disjoint)","3","LAWS",NA,NA,0.0144431588973748,0.000446497320312603,0.448725834797891,0.00333858949215954,"step","AR",0.277777777777778
"151","FOCR-D3-SABHA","FOCR (disjoint)","3","SABHA",NA,NA,0.012452459301756,0.000424054125174645,0.435632688927944,0.00344827717100185,"step","AR",0.277777777777778
"152","FOCR-O11-RAW","FOCR (overlap)","11","",0.0184630623250179,0.000684506387283323,0.0768757723129203,0.00091995944077535,0.701010544815466,0.00298982069394949,"step","AR",0.277777777777778
"153","FOCR-O11-BH","FOCR (overlap)","11","BH",NA,NA,0.0248214115799946,0.000751017735834507,0.596089630931459,0.00285119339647015,"step","AR",0.277777777777778
"154","FOCR-O11-LAWS","FOCR (overlap)","11","LAWS",NA,NA,0.0333065602962235,0.000816247107895802,0.645386643233743,0.00294480309904289,"step","AR",0.277777777777778
"155","FOCR-O11-SABHA","FOCR (overlap)","11","SABHA",NA,NA,0.030016703670969,0.000797099254415309,0.632513181019332,0.00317813123033555,"step","AR",0.277777777777778
"156","FOCR-D11-RAW","FOCR (disjoint)","11","",0.0188172229876857,0.000775842400631929,0.0459312420465987,0.000774479301724882,0.600922671353251,0.00296518708000799,"step","AR",0.277777777777778
"157","FOCR-D11-BH","FOCR (disjoint)","11","BH",NA,NA,0.0210703504555768,0.000735872898096511,0.535984182776801,0.00314565858788354,"step","AR",0.277777777777778
